"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R9";"Resistor_14mm";1;"47";;;
2;"C9,C7";"C_Radial_D8_L11.5_P3.5";2;"2.2uF";;;
3;"VR1";"RV_Disc_D7_W3.5_P5";1;"JVR7N391K";;;
4;"U6";"Nokia_lcd5110";1;"LCD5110";;;
5;"R24,R1,R2,R21,R22,R27";"R_0805_HandSoldering";6;"100k";;;
6;"L1";"Choke_6mm";1;"100uH";;;
7;"R13";"Resistor_14mm";1;"1";;;
8;"C1,C11,C13,C14";"C_0805_HandSoldering";4;"100nF";;;
9;"C2";"C_0805_HandSoldering";1;"150nF";;;
10;"C3";"C_Disc_D6_P5";1;"470pF";;;
11;"C4,C5,C8";"capacitor_RM7.5";3;"10nF";;;
12;"C6,C10";"C_0805_HandSoldering";2;"100pF";;;
13;"C12";"C_Radial_D8_L13_P3.8";1;"100uF";;;
14;"C15";"C_0805_HandSoldering";1;"1uF";;;
15;"D1,D2";"SMA_Handsoldering";2;"US1M";;;
16;"F1";"Fuseholder5x20_horiz_open_Schurter_0031_8201";1;"1A slow";;;
17;"L2";"Choke_6mm";1;"1mH";;;
18;"L3";"R_0805_HandSoldering";1;"10uH";;;
19;"P1";"Power_connector_Straight_508_7pin";1;"CONN_01X07";;;
20;"P2";"Pin_Header_Straight_2x03";1;"CONN_02X03";;;
21;"Q1,Q2";"SOT-23_Handsoldering";2;"BSS138";;;
22;"Q3";"SOT-23_Handsoldering";1;"OA3401A";;;
23;"R4,R7,R30";"R_0805_HandSoldering";3;"47k";;;
24;"R5,R3";"R_0805_HandSoldering";2;"4.7k";;;
25;"R6,R10,R23,R28";"R_0805_HandSoldering";4;"1M";;;
26;"R8,R11,R14,R15,R17,R18,R25,R26";"R_1206_HandSoldering";8;"100k";;;
27;"R12,R16";"Resistor_14mm";2;"2.2k";;;
28;"R19,R20,R33";"R_0805_HandSoldering";3;"100";;;
29;"R29";"R_0805_HandSoldering";1;"10";;;
30;"R31";"R_0805_HandSoldering";1;"12k";;;
31;"R32";"R_0805_HandSoldering";1;"22";;;
32;"U1,U2";"TO-252-2Lead";2;"BT137S-600E";;;
33;"U3";"SO-8C";1;"LNK302D";;;
34;"U4";"Optocoupler_SMD_HandSoldering_KPC357_LTV35x_PC357_SingleChannel";1;"PC817";;;
35;"U5";"SOT-23_Handsoldering";1;"TL431";;;
36;"D3";"Diode_DO-201AD_Horizontal_RM15";1;"ZD 5W 4,7V";;;
37;"IC1";"SOIC-14_N";1;"ATTINY84S";;;
38;"P3";"PINTST";1;"key";;;
39;"P4";"PINTST";1;"mains";;;
40;"P5";"PINTST";1;"down";;;
41;"P6";"PINTST";1;"up";;;
42;"P7";"PINTST";1;"sense";;;
43;"P8";"PINTST";1;"-3.3V";;;
44;"P9";"PINTST";1;"0V";;;
45;"SW1,SW2,SW3";"SW_SPST_EVPBF";3;"tactile switch";;;
46;"REF4,REF3,REF1,REF2";"MountingHole_3mm";4;"MountingHole_3mm";;;
